review_id,product_id,review_date,rating,sentiment,keywords,review_len,review_word_count,reviews_username,reviews_title,brand,categories
AVphPmHuilAPnD_x3E5h,B00IOY8XWQ,2016-06-17 00:00:00,5,positive,"missing,light,bright,reading,older",603,113,DebraPants,"Great e-reader, no complaints",Amazon,"eBook Readers,Electronics Features,Walmart for Business,Tablets,See more Amazon Kindle Voyage (Wi-Fi),Electronics,Office Electronics,iPad & Tablets,Kindle E-readers,E-Readers & Accessories,All Tablets,See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...,Computers & Tablets"
AV-XeQLWuC1rwyj_gbP5,B01N32NCPM,2018-05-23 00:00:00,5,positive,"lazy,mans,drean,combined,alexa",120,23,Prelude428,Awesome!,Amazon,"Amazon SMP,TV, Video & Home Audio,Electronics,Electronics Deals,TVs Entertainment,Digital Device 4,Tvs & Home Theater,Featured Brands,Video Devices & TV Tuners,Consumer Electronics,TV & Video,Internet & Media Streamers,Streaming Media Players,Fire TV,Streaming Devices,Amazon Devices,Amazon,See more Amazon Fire TV with Alexa Voice Remote Digital..."
AWMjT0WguC1rwyj_rFh3,B06XB29FPF,2017-12-15 00:00:00,5,positive,"lights,works,great,turns,h",130,27,Jayjag,So far so good.,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3"
AVqkIiKWnnc1JgDc3khH,B01AHB9CYG,2017-02-03 00:00:00,4,positive,"video,apps,quality,good,works",242,42,KBuyer,Good - But could be much better.,Amazon,"Tablets,Fire Tablets,Electronics,Computers,Computer Components,Hard Drives & Storage,Computers & Tablets,All Tablets"
AVpjEN4jLJeJML43rpUe,B018Y225IA,2017-01-17 00:00:00,5,positive,"tablet,perfect,travel,recently,took",162,30,randomA2resident,Great tablet for great price,Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets"
AVqVGZN9QMlgsOJE6eUZ,B00REQKWGA,2016-06-01 00:00:00,5,positive,"lightweight,convenient,use,love,new",53,9,merafa,Great,Amazon,"Kindle E-readers,Electronics Features,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers"
AVqkIdZiv8e3D1O-leaJ,B018Y224PY,2016-08-05 00:00:00,4,positive,"cons,compatible,google,apps,use",304,43,Stephwilkes,Excellent for Amazon product users and shoppers.,Amazon,"Tablets,Fire Tablets,Electronics,iPad & Tablets,Android Tablets,Computers & Tablets,All Tablets"
AVqVGZSEQMlgsOJE6eUc,B017JG41PC,2018-02-21 00:00:00,5,positive,"gf,loved,uses,time,gets",82,19,Manuelm,Great product,Amazon,"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets"
AVqkIhkhv8e3D1O-lebZ,B01AHBBG04,2016-11-04 00:00:00,4,positive,"love,tablet,purchased,gift,glad",67,15,Lng10,PERFECT!,Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets"
AVqVGZO3nnc1JgDc3jGK,B00VINDBJK,2016-12-10 00:00:00,5,positive,"kindle,charge,oasis,would,read",3668,709,ljbinion,Reasons I Love My Kindle Oasis,Amazon,"eBook Readers,E-Readers & Accessories,Amazon Book Reader,Computers & Tablets,Amazon Ereaders,Kindle E-readers,E-Readers"
AVqkIj9snnc1JgDc3khU,B01AHB9C1E,2017-01-06 00:00:00,4,neutral,"bought,wife,constant,reader,put",177,34,Kibil,Easy reader,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets"
AVph0EeEilAPnD_x9myq,B018Y22C2Y,2016-12-23 00:00:00,4,positive,"good,product,young,child,play",60,11,Mrawesome,Good for kids,Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets"
